minute;message
4;Advies in stresserende tijden: begin bij het begin. Bij 01000001 bijvoorbeeld.
8;Op het whiteboard passen 2 soorten magneten. De grote helpen je op weg voor de kleine!
12;Het labo rapport bevat een belangrijke geheime boodschap. Alleen het rode staal kan je helpen om deze te vinden!
16;Als je zoekt in de juiste personeelsfiches, kan je een patroon ontdekken. Dit is precies wat je nodig hebt om de GSM te ontgrendelen.
20;Het juiste element kunnen jullie samen op de wereldkaart aanduiden. Maar je moet wel goed naar de kleuren kijken.
24;ο κωδικός πρόσβασης βρίσκεται στο πάνω συρτάρι
28;Nog goud of hout nodig? Wie zoekt, die vindt beide in de maquette.
34;Heb je extra hulp nodig? Stel één vraag aan de medewerker.
38;Leg de gekleurde touwen strak en zoek het snijpunt.
41;Gebruik de apple om het cijferslot te openen.
44;Doolhof van getallen gevolgd? En in een continent terecht gekomen? Ga vervolgens naar de puzzel met de kleine magneten, hiermee kan je de lettercode vormen.
46;Leve de technologie! Probeer het wachtwoord niet met jullie eigen ogen te lezen, maar gebruik het oog van de GSM.
49;Zoek de fouten/verschillen in ‘The phone components serial numbers’ en vind zo de letters van de username.
55;Voor de juiste volgorde gebruik de Griekse letter θ.
60;Flits met je smartphone! En vind de code in de bovenste lade.
65;Heb je hulp nodig, vraag het aan de medewerker.
